method,b1_pagerank_mae_h4,b1_rank_corr_h4,b1_trend_consistency_h4,b1_hhi_mae_h4,b2_precision_mean,b2_f1_mean,b2_lead_time_mean,b3_ece,b3_pi_coverage,b3_crps,b6_relative_degradation_mean
m5_fm_rules,4.4568879278345295e-05,0.5583183411416054,0.6275862068965516,0.03214205297050013,0.7555555555555555,0.007022695502922554,4.666666666666667,0.012499999999999845,0.9125,0.014880372704265135,0.11300065468542597
m1_persistence_rules,3.386260345729284e-05,0.5700787623009229,0.0,0.03216092870170988,,,,,,,0.14827137927309633
